genus|total_label|passport_label|label|group|group_order|signature|g0|r|dim|con|cc|braid|topological|jacobian_decomp|gen_vector|connected_genvec|hyperelliptic|hyp_involution|eqn|cyclic_trigonal|cinv|full_label|full_auto|signH
smallint|text|text|text|text|integer|integer[]|smallint|smallint|smallint|text|integer[]|integer[]|integer[]|jsonb|integer[]|text[]|boolean|integer|jsonb|boolean|integer|text|text|text

3|3.2-1.0.2-2-2-2-2-2-2-2.1.1|3.2-1.0.2-2-2-2-2-2-2-2.1|3.2-1.0.2-2-2-2-2-2-2-2|2.1|2|[0, 2, 2, 2, 2, 2, 2, 2, 2]|0|8|5|[ "2A", "2A", "2A", "2A", "2A", "2A", "2A", "2A" ]|[1, 1]|[ 1, 1 ]|[ 1, 1 ]|[ [ 3, 1, 2 ] ]|[ 1, 1, 1, 1, 1, 1, 1, 1 ]|[ "a", "a", "a", "a", "a", "a", "a", "a" ]|True|1|[ "y^2=x(x^{6}+a_{1}x^{5}+a_{2}x^{4}+a_{3}x^{3}+a_{4}x^{2}+a_{5}x + 1)" ]|False|NULL|NULL|NULL|NULL
3|3.3-1.0.3-3-3-3-3.1.1|3.3-1.0.3-3-3-3-3.1|3.3-1.0.3-3-3-3-3|3.1|3|[0, 3, 3, 3, 3, 3]|0|5|2|[ "3A-1", "3A1", "3A1", "3A1", "3A1" ]|[1, 1]|[ 1, 1 ]|[ 1, 1 ]|[ [ 3, 1, 2 ] ]|[ 3, 4, 4, 4, 4 ]|[ "a", "a^2", "a^2", "a^2", "a^2" ]|False|NULL|NULL|True|3|NULL|NULL|NULL
3|3.3-1.0.3-3-3-3-3.2.1|3.3-1.0.3-3-3-3-3.2|3.3-1.0.3-3-3-3-3|3.1|3|[0, 3, 3, 3, 3, 3]|0|5|2|[ "3A-1", "3A-1", "3A-1", "3A-1", "3A1" ]|[2, 1]|[ 2, 1 ]|[ 1, 1 ]|[ [ 3, 1, 2 ] ]|[ 3, 3, 3, 3, 4 ]|[ "a", "a", "a", "a", "a^2" ]|False|NULL|NULL|True|3|NULL|NULL|NULL
3|3.4-1.0.2-2-2-4-4.1.1|3.4-1.0.2-2-2-4-4.1|3.4-1.0.2-2-2-4-4|4.1|4|[0, 2, 2, 2, 4, 4]|0|5|2|[ "2A", "2A", "2A", "4A1", "4A1" ]|[1, 1]|[ 1, 1 ]|[ 1, 1 ]|[ [ 3, 1, 2 ] ]|[ 16, 16, 16, 9, 9 ]|[ "a^-2", "a^-2", "a^-2", "a", "a" ]|True|16|[ "y^2=x(x^{6}+a_{1}x^{4}+a_{2}x^{2}+1)" ]|False|NULL|NULL|NULL|NULL
3|3.4-1.0.2-2-2-4-4.2.1|3.4-1.0.2-2-2-4-4.2|3.4-1.0.2-2-2-4-4|4.1|4|[0, 2, 2, 2, 4, 4]|0|5|2|[ "2A", "2A", "2A", "4A-1", "4A-1" ]|[2, 1]|[ 2, 1 ]|[ 1, 1 ]|[ [ 3, 1, 2 ] ]|[ 16, 16, 16, 18, 18 ]|[ "a^-2", "a^-2", "a^-2", "a^-1", "a^-1" ]|True|16|[ "y^2=x(x^{6}+a_{1}x^{4}+a_{2}x^{2}+1)" ]|False|NULL|NULL|NULL|NULL
3|3.4-2.0.2-2-2-2-2-2.1.1|3.4-2.0.2-2-2-2-2-2.1|3.4-2.0.2-2-2-2-2-2|4.2|4|[0, 2, 2, 2, 2, 2, 2]|0|6|3|[ "2A", "2A", "2A", "2A", "2B", "2B" ]|[1, 1]|[ 1, 1 ]|[ 1, 1 ]|[ [ 2, 1, 3 ], [ 1, 1, 4 ] ]|[ 23, 23, 23, 23, 16, 16 ]|[ "a", "a", "a", "a", "ba", "ba" ]|True|23|[ "y^2=x^{8}+a_{1}x^{6}+a_{2}x^{4}+a_{3}x^{2}+1", "y^2=x(x^2+a_{1}x+1)(x^2+a_{2}x+1)(x^2+a_{3}x+1)" ]|False|NULL|NULL|NULL|NULL
3|3.4-2.0.2-2-2-2-2-2.2.1|3.4-2.0.2-2-2-2-2-2.2|3.4-2.0.2-2-2-2-2-2|4.2|4|[0, 2, 2, 2, 2, 2, 2]|0|6|3|[ "2A", "2A", "2B", "2B", "2B", "2B" ]|[2, 1]|[ 2, 1 ]|[ 1, 1 ]|[ [ 1, 1, 2 ], [ 2, 1, 3 ] ]|[ 23, 23, 16, 16, 16, 16 ]|[ "a", "a", "ba", "ba", "ba", "ba" ]|True|16|[ "y^2=x^{8}+a_{1}x^{6}+a_{2}x^{4}+a_{3}x^{2}+1", "y^2=x(x^2+a_{1}x+1)(x^2+a_{2}x+1)(x^2+a_{3}x+1)" ]|False|NULL|NULL|NULL|NULL
3|3.4-2.0.2-2-2-2-2-2.3.1|3.4-2.0.2-2-2-2-2-2.3|3.4-2.0.2-2-2-2-2-2|4.2|4|[0, 2, 2, 2, 2, 2, 2]|0|6|3|[ "2C", "2C", "2A", "2A", "2A", "2A" ]|[3, 1]|[ 3, 1 ]|[ 1, 1 ]|[ [ 1, 1, 3 ], [ 2, 1, 4 ] ]|[ 7, 7, 23, 23, 23, 23 ]|[ "b", "b", "a", "a", "a", "a" ]|True|23|[ "y^2=x^{8}+a_{1}x^{6}+a_{2}x^{4}+a_{3}x^{2}+1", "y^2=x(x^2+a_{1}x+1)(x^2+a_{2}x+1)(x^2+a_{3}x+1)" ]|False|NULL|NULL|NULL|NULL
