genus|total_label|passport_label|label|group|group_order|signature|g0|r|dim|con|cc|braid|topological|jacobian_decomp|genvec|connected_genvec|trans_group|min_deg|hyperelliptic|hyp_involution|eqn|cyclic_trigonal|cinv|full_label|full_auto|signH
smallint|text|text|text|text|integer|integer[]|smallint|smallint|smallint|text[]|integer[]|integer[]|integer[]|jsonb|numeric[]|text[]|text|integer|boolean|numeric|text[]|boolean|numeric|text|text|integer[]

4|4.2-1.0.2-2-2-2-2-2-2-2-2-2.1.1|4.2-1.0.2-2-2-2-2-2-2-2-2-2.1|4.2-1.0.2-2-2-2-2-2-2-2-2-2|2.1|2|[0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]|0|10|7|[ "2A", "2A", "2A", "2A", "2A", "2A", "2A", "2A", "2A", "2A" ]|[1, 1]|[ 1, 1 ]|[ 1, 1 ]|[ [ 4, 1, 2 ] ]|[ 1, 1, 1, 1, 1, 1, 1, 1, 1, 1 ]|[ "a", "a", "a", "a", "a", "a", "a", "a", "a", "a" ]|2T1|2|True|1|[ "y^2=x(x^{8}+a_{1}x^{7}+a_{2}x^{6}+a_{3}x^{5}+a_{4}x^{4}+a_{5}x^{3}+a_{6}x^{2}+a_{7}x + 1)" ]|False|NULL|NULL|NULL|NULL
4|4.3-1.0.3-3-3-3-3-3.1.1|4.3-1.0.3-3-3-3-3-3.1|4.3-1.0.3-3-3-3-3-3|3.1|3|[0, 3, 3, 3, 3, 3, 3]|0|6|3|[ "3A1", "3A1", "3A1", "3A1", "3A1", "3A1" ]|[1, 1]|[ 1, 1 ]|[ 1, 1 ]|[ [ 4, 1, 2 ] ]|[ 4, 4, 4, 4, 4, 4 ]|[ "a^2", "a^2", "a^2", "a^2", "a^2", "a^2" ]|3T1|3|False|NULL|NULL|True|3|NULL|NULL|NULL
4|4.3-1.0.3-3-3-3-3-3.2.1|4.3-1.0.3-3-3-3-3-3.2|4.3-1.0.3-3-3-3-3-3|3.1|3|[0, 3, 3, 3, 3, 3, 3]|0|6|3|[ "3A-1", "3A-1", "3A-1", "3A1", "3A1", "3A1" ]|[2, 1]|[ 2, 1 ]|[ 2, 1 ]|[ [ 4, 1, 2 ] ]|[ 3, 3, 3, 4, 4, 4 ]|[ "a", "a", "a", "a^2", "a^2", "a^2" ]|3T1|3|False|NULL|NULL|True|3|NULL|NULL|NULL
4|4.3-1.0.3-3-3-3-3-3.3.1|4.3-1.0.3-3-3-3-3-3.3|4.3-1.0.3-3-3-3-3-3|3.1|3|[0, 3, 3, 3, 3, 3, 3]|0|6|3|[ "3A-1", "3A-1", "3A-1", "3A-1", "3A-1", "3A-1" ]|[3, 1]|[ 3, 1 ]|[ 1, 1 ]|[ [ 4, 1, 2 ] ]|[ 3, 3, 3, 3, 3, 3 ]|[ "a", "a", "a", "a", "a", "a" ]|3T1|3|False|NULL|NULL|True|3|NULL|NULL|NULL
4|4.4-1.0.2-4-4-4-4.1.1|4.4-1.0.2-4-4-4-4.1|4.4-1.0.2-4-4-4-4|4.1|4|[0, 2, 4, 4, 4, 4]|0|5|2|[ "2A", "4A1", "4A1", "4A1", "4A-1" ]|[1, 1]|[ 1, 1 ]|[ 1, 1 ]|[ [ 3, 1, 2 ], [ 1, 1, 3 ] ]|[ 16, 9, 9, 9, 18 ]|[ "a^-2", "a", "a", "a", "a^-1" ]|4T1|4|False|NULL|NULL|False|NULL|NULL|NULL|NULL
4|4.4-1.0.2-4-4-4-4.2.1|4.4-1.0.2-4-4-4-4.2|4.4-1.0.2-4-4-4-4|4.1|4|[0, 2, 4, 4, 4, 4]|0|5|2|[ "2A", "4A1", "4A-1", "4A-1", "4A-1" ]|[2, 1]|[ 2, 1 ]|[ 1, 1 ]|[ [ 3, 1, 2 ], [ 1, 1, 3 ] ]|[ 16, 9, 18, 18, 18 ]|[ "a^-2", "a", "a^-1", "a^-1", "a^-1" ]|4T1|4|False|NULL|NULL|False|NULL|NULL|NULL|NULL
4|4.4-1.0.2-2-2-2-4-4.1.1|4.4-1.0.2-2-2-2-4-4.1|4.4-1.0.2-2-2-2-4-4|4.1|4|[0, 2, 2, 2, 2, 4, 4]|0|6|3|[ "2A", "2A", "2A", "2A", "4A1", "4A-1" ]|[1, 1]|[ 1, 1 ]|[ 1, 1 ]|[ [ 4, 1, 2 ] ]|[ 16, 16, 16, 16, 9, 18 ]|[ "a^-2", "a^-2", "a^-2", "a^-2", "a", "a^-1" ]|4T1|4|True|16|[ "y^2=x(x^{8}+a_{1}x^{6}+a_{2}x^{4}+a_{3}x^{2}+1)" ]|False|NULL|NULL|NULL|NULL
4|4.4-2.0.2-2-2-2-2-2-2.1.1|4.4-2.0.2-2-2-2-2-2-2.1|4.4-2.0.2-2-2-2-2-2-2|4.2|4|[0, 2, 2, 2, 2, 2, 2, 2]|0|7|4|[ "2C", "2A", "2A", "2A", "2A", "2A", "2B" ]|[1, 1]|[ 1, 1 ]|[ 1, 1 ]|[ [ 2, 1, 3 ], [ 2, 1, 4 ] ]|[ 7, 23, 23, 23, 23, 23, 16 ]|[ "b", "a", "a", "a", "a", "a", "ba" ]|4T2|4|True|23|[ "y^2=x^{10}+a_{1}x^{8}+a_{2}x^{6}+a_{3}x^{4}+a_{4}x^{2}+1", "y^2=x(x^2+a_{1}x+1)(x^2+a_{2}x+1)(x^2+a_{3}x+1)(x^2+a_{4}x+1)" ]|False|NULL|NULL|NULL|NULL
