total_label|passport_label|con|con_label|connected_genvec
text|text|text|text|jsonb

4.12-4.0.2.2.2.2.2.1.3|4.12-4.0.2.2.2.2.2.1|[ 2, 3, 4, 4, 4 ]|[ 2A, 2C, 2B, 2B, 2B ]|[ b^3, a, b^5a, b^3a, ba ]
4.12-4.0.2.2.2.2.2.1.4|4.12-4.0.2.2.2.2.2.1|[ 2, 3, 4, 4, 4 ]|[ 2A, 2C, 2B, 2B, 2B ]|[ b^3, a, b^5a, b^5a, b^3a ]
4.12-4.0.2.2.2.2.2.2.1|4.12-4.0.2.2.2.2.2.2|[ 2, 3, 3, 3, 4 ]|[ 2A, 2C, 2C, 2C, 2B ]|[ b^3, a, a, b^2a, b^5a ]
4.12-4.0.2.2.2.2.2.2.2|4.12-4.0.2.2.2.2.2.2|[ 2, 3, 3, 3, 4 ]|[ 2A, 2C, 2C, 2C, 2B ]|[ b^3, a, b^2a, a, ba ]
4.12-4.0.2.2.2.2.2.2.3|4.12-4.0.2.2.2.2.2.2|[ 2, 3, 3, 3, 4 ]|[ 2A, 2C, 2C, 2C, 2B ]|[ b^3, a, b^2a, b^2a, b^3a ]
4.12-4.0.2.2.2.2.2.2.4|4.12-4.0.2.2.2.2.2.2|[ 2, 3, 3, 3, 4 ]|[ 2A, 2C, 2C, 2C, 2B ]|[ b^3, a, b^2a, b^4a, b^5a ]
4.15-1.0.3.5.15.1.1|4.15-1.0.3.5.15.1|[ 2, 4, 15 ]|[ 3A1, 5A1, 15A7 ]|[ a^10, a^12, a^8 ]
4.15-1.0.3.5.15.2.1|4.15-1.0.3.5.15.2|[ 2, 7, 13 ]|[ 3A1, 5A-1, 15A2 ]|[ a^10, a^3, a^2 ]
4.15-1.0.3.5.15.3.1|4.15-1.0.3.5.15.3|[ 2, 6, 9 ]|[ 3A1, 5A2, 15A-2 ]|[ a^10, a^6, a^14 ]
4.15-1.0.3.5.15.4.1|4.15-1.0.3.5.15.4|[ 2, 5, 12 ]|[ 3A1, 5A-2, 15A-4 ]|[ a^10, a^9, a^11 ]
4.15-1.0.3.5.15.5.1|4.15-1.0.3.5.15.5|[ 3, 4, 10 ]|[ 3A-1, 5A1, 15A4 ]|[ a^5, a^12, a^13 ]
4.15-1.0.3.5.15.6.1|4.15-1.0.3.5.15.6|[ 3, 7, 8 ]|[ 3A-1, 5A-1, 15A-1 ]|[ a^5, a^3, a^7 ]
4.15-1.0.3.5.15.7.1|4.15-1.0.3.5.15.7|[ 3, 6, 11 ]|[ 3A-1, 5A2, 15A1 ]|[ a^5, a^6, a^4 ]
4.15-1.0.3.5.15.8.1|4.15-1.0.3.5.15.8|[ 3, 5, 14 ]|[ 3A-1, 5A-2, 15A-7 ]|[ a^5, a^9, a ]
4.16-9.0.4.4.8.1.1|4.16-9.0.4.4.8.1|[ 4, 5, 7 ]|[ 4C, 4B, 8A1 ]|[ a, a^-2b^3a, a^-2b ]
4.16-9.0.4.4.8.2.1|4.16-9.0.4.4.8.2|[ 4, 5, 6 ]|[ 4C, 4B, 8A3 ]|[ a, b^3a, b ]
4.16-1.0.2.16.16.1.1|4.16-1.0.2.16.16.1|[ 2, 14, 15 ]|[ 2A, 16A1, 16A3 ]|[ a^-8, a^-5, a^-3 ]
4.16-1.0.2.16.16.2.1|4.16-1.0.2.16.16.2|[ 2, 13, 16 ]|[ 2A, 16A-1, 16A5 ]|[ a^-8, a^-7, a^-1 ]
4.16-1.0.2.16.16.3.1|4.16-1.0.2.16.16.3|[ 2, 10, 11 ]|[ 2A, 16A-3, 16A-7 ]|[ a^-8, a^3, a^5 ]
4.16-1.0.2.16.16.4.1|4.16-1.0.2.16.16.4|[ 2, 9, 12 ]|[ 2A, 16A-5, 16A7 ]|[ a^-8, a, a^7 ]
4.16-7.0.2.2.2.8.1.1|4.16-7.0.2.2.2.8.1|[ 2, 3, 4, 7 ]|[ 2A, 2B, 2C, 8A1 ]|[ b^-4, a, b^-1a, b^-3 ]
4.16-7.0.2.2.2.8.2.1|4.16-7.0.2.2.2.8.2|[ 2, 3, 4, 6 ]|[ 2A, 2B, 2C, 8A3 ]|[ b^-4, a, b^3a, b ]
4.18-3.0.3.6.6.1.1|4.18-3.0.3.6.6.1|[ 5, 8, 9 ]|[ 3B, 6A1, 6A-1 ]|[ b^2, a, ba^5 ]
4.18-3.0.3.6.6.2.1|4.18-3.0.3.6.6.2|[ 7, 9, 9 ]|[ 3C1, 6A-1, 6A-1 ]|[ ba^2, a^5, b^2a^5 ]
4.18-3.0.3.6.6.3.1|4.18-3.0.3.6.6.3|[ 6, 8, 8 ]|[ 3C-1, 6A1, 6A1 ]|[ b^2a^4, a, ba ]
4.18-5.0.3.6.6.1.1|4.18-5.0.3.6.6.1|[ 3, 13, 16 ]|[ 3A1, 6B1, 6B-1 ]|[ b^2, b^3a, ba^2 ]
4.18-5.0.3.6.6.2.1|4.18-5.0.3.6.6.2|[ 3, 15, 18 ]|[ 3A1, 6C1, 6A1 ]|[ b^2, b^5a, b^5a^2 ]
4.18-5.0.3.6.6.3.1|4.18-5.0.3.6.6.3|[ 3, 14, 17 ]|[ 3A1, 6D1, 6C-1 ]|[ b^2, b^3a^2, ba ]
4.18-5.0.3.6.6.4.1|4.18-5.0.3.6.6.4|[ 10, 12, 13 ]|[ 3A-1, 6A-1, 6B1 ]|[ b^2a^2, b, b^3a ]
4.18-5.0.3.6.6.5.1|4.18-5.0.3.6.6.5|[ 10, 14, 16 ]|[ 3A-1, 6D1, 6B-1 ]|[ b^2a^2, b^3a^2, ba^2 ]
4.18-5.0.3.6.6.6.1|4.18-5.0.3.6.6.6|[ 10, 11, 15 ]|[ 3A-1, 6D-1, 6C1 ]|[ b^2a^2, b^5, b^5a ]
4.18-5.0.3.6.6.7.1|4.18-5.0.3.6.6.7|[ 7, 12, 14 ]|[ 3B1, 6A-1, 6D1 ]|[ b^2a, b, b^3a^2 ]
4.18-5.0.3.6.6.8.1|4.18-5.0.3.6.6.8|[ 7, 13, 17 ]|[ 3B1, 6B1, 6C-1 ]|[ b^2a, b^3a, ba ]
4.18-5.0.3.6.6.9.1|4.18-5.0.3.6.6.9|[ 7, 11, 18 ]|[ 3B1, 6D-1, 6A1 ]|[ b^2a, b^5, b^5a^2 ]
4.18-5.0.3.6.6.10.1|4.18-5.0.3.6.6.10|[ 4, 13, 18 ]|[ 3B-1, 6B1, 6A1 ]|[ b^4, b^3a, b^5a^2 ]
4.18-5.0.3.6.6.11.1|4.18-5.0.3.6.6.11|[ 4, 16, 17 ]|[ 3B-1, 6B-1, 6C-1 ]|[ b^4, ba^2, ba ]
4.18-5.0.3.6.6.12.1|4.18-5.0.3.6.6.12|[ 4, 14, 15 ]|[ 3B-1, 6D1, 6C1 ]|[ b^4, b^3a^2, b^5a ]
4.18-5.0.3.6.6.13.1|4.18-5.0.3.6.6.13|[ 8, 12, 17 ]|[ 3C1, 6A-1, 6C-1 ]|[ b^4a^2, b, ba ]
4.18-5.0.3.6.6.14.1|4.18-5.0.3.6.6.14|[ 8, 14, 18 ]|[ 3C1, 6D1, 6A1 ]|[ b^4a^2, b^3a^2, b^5a^2 ]
4.18-5.0.3.6.6.15.1|4.18-5.0.3.6.6.15|[ 8, 11, 13 ]|[ 3C1, 6D-1, 6B1 ]|[ b^4a^2, b^5, b^3a ]
4.18-5.0.3.6.6.16.1|4.18-5.0.3.6.6.16|[ 6, 12, 15 ]|[ 3C-1, 6A-1, 6C1 ]|[ a^2, b, b^5a ]
4.18-5.0.3.6.6.17.1|4.18-5.0.3.6.6.17|[ 6, 16, 18 ]|[ 3C-1, 6B-1, 6A1 ]|[ a^2, ba^2, b^5a^2 ]
4.18-5.0.3.6.6.18.1|4.18-5.0.3.6.6.18|[ 6, 11, 17 ]|[ 3C-1, 6D-1, 6C-1 ]|[ a^2, b^5, ba ]
4.18-5.0.3.6.6.19.1|4.18-5.0.3.6.6.19|[ 9, 12, 16 ]|[ 3D1, 6A-1, 6B-1 ]|[ b^4a, b, ba^2 ]
4.18-5.0.3.6.6.20.1|4.18-5.0.3.6.6.20|[ 9, 13, 15 ]|[ 3D1, 6B1, 6C1 ]|[ b^4a, b^3a, b^5a ]
4.18-5.0.3.6.6.21.1|4.18-5.0.3.6.6.21|[ 9, 11, 14 ]|[ 3D1, 6D-1, 6D1 ]|[ b^4a, b^5, b^3a^2 ]
4.18-5.0.3.6.6.22.1|4.18-5.0.3.6.6.22|[ 5, 12, 18 ]|[ 3D-1, 6A-1, 6A1 ]|[ a, b, b^5a^2 ]
4.18-5.0.3.6.6.23.1|4.18-5.0.3.6.6.23|[ 5, 15, 17 ]|[ 3D-1, 6C1, 6C-1 ]|[ a, b^5a, ba ]
4.18-5.0.3.6.6.24.1|4.18-5.0.3.6.6.24|[ 5, 11, 16 ]|[ 3D-1, 6D-1, 6B-1 ]|[ a, b^5, ba^2 ]
4.18-2.0.2.9.18.1.1|4.18-2.0.2.9.18.1|[ 2, 7, 18 ]|[ 2A, 9A1, 18A1 ]|[ a^9, a^4, a^5 ]
4.18-2.0.2.9.18.2.1|4.18-2.0.2.9.18.2|[ 2, 12, 13 ]|[ 2A, 9A-1, 18A-1 ]|[ a^9, a^14, a^13 ]
4.18-2.0.2.9.18.3.1|4.18-2.0.2.9.18.3|[ 2, 11, 16 ]|[ 2A, 9A2, 18A-7 ]|[ a^9, a^10, a^17 ]
4.18-2.0.2.9.18.4.1|4.18-2.0.2.9.18.4|[ 2, 8, 15 ]|[ 2A, 9A-2, 18A7 ]|[ a^9, a^8, a ]
4.18-2.0.2.9.18.5.1|4.18-2.0.2.9.18.5|[ 2, 9, 14 ]|[ 2A, 9A4, 18A-5 ]|[ a^9, a^16, a^11 ]
4.18-2.0.2.9.18.6.1|4.18-2.0.2.9.18.6|[ 2, 10, 17 ]|[ 2A, 9A-4, 18A5 ]|[ a^9, a^2, a^7 ]
4.18-3.0.2.2.3.3.1.1|4.18-3.0.2.2.3.3.1|[ 2, 2, 3, 7 ]|[ 2A, 2A, 3A1, 3C1 ]|[ a^3, ba^3, a^4, b^2a^2 ]
4.18-3.0.2.2.3.3.2.1|4.18-3.0.2.2.3.3.2|[ 2, 2, 4, 6 ]|[ 2A, 2A, 3A-1, 3C-1 ]|[ a^3, ba^3, a^2, b^2a^4 ]
4.18-3.0.2.2.3.3.3.1|4.18-3.0.2.2.3.3.3|[ 2, 2, 6, 7 ]|[ 2A, 2A, 3C-1, 3C1 ]|[ a^3, a^3, b^2a^4, ba^2 ]
4.18-3.0.2.2.3.3.3.2|4.18-3.0.2.2.3.3.3|[ 2, 2, 6, 7 ]|[ 2A, 2A, 3C-1, 3C1 ]|[ a^3, ba^3, ba^4, ba^2 ]
4.18-4.0.2.2.3.3.1.1|4.18-4.0.2.2.3.3.1|[ 2, 2, 5, 6 ]|[ 2A, 2A, 3A, 3D ]|[ a, b^2a, c^2b^2, cb^2 ]
