total_label|passport_label|con|con_label|connected_genvec
text|text|text|text|jsonb

2.2-1.0.2.2.2.2.2.2.1.1|2.2-1.0.2.2.2.2.2.2.1|[ 2, 2, 2, 2, 2, 2 ]|[ 2A, 2A, 2A, 2A, 2A, 2A ]|[ a, a, a, a, a, a ]
2.3-1.0.3.3.3.3.1.1|2.3-1.0.3.3.3.3.1|[ 2, 2, 3, 3 ]|[ 3A-1, 3A-1, 3A1, 3A1 ]|[ a, a, a^2, a^2 ]
2.4-1.0.2.2.4.4.1.1|2.4-1.0.2.2.4.4.1|[ 2, 2, 3, 4 ]|[ 2A, 2A, 4A1, 4A-1 ]|[ a^-2, a^-2, a, a^-1 ]
2.4-2.0.2.2.2.2.2.1.1|2.4-2.0.2.2.2.2.2.1|[ 2, 3, 3, 3, 4 ]|[ 2C, 2A, 2A, 2A, 2B ]|[ b, a, a, a, ba ]
2.4-2.0.2.2.2.2.2.2.1|2.4-2.0.2.2.2.2.2.2|[ 2, 3, 4, 4, 4 ]|[ 2C, 2A, 2B, 2B, 2B ]|[ b, a, ba, ba, ba ]
2.4-2.0.2.2.2.2.2.3.1|2.4-2.0.2.2.2.2.2.3|[ 2, 2, 2, 3, 4 ]|[ 2C, 2C, 2C, 2A, 2B ]|[ b, b, b, a, ba ]
2.5-1.0.5.5.5.1.1|2.5-1.0.5.5.5.1|[ 2, 2, 4 ]|[ 5A-1, 5A-1, 5A2 ]|[ a, a, a^3 ]
2.5-1.0.5.5.5.2.1|2.5-1.0.5.5.5.2|[ 2, 3, 3 ]|[ 5A-1, 5A-2, 5A-2 ]|[ a, a^2, a^2 ]
2.5-1.0.5.5.5.3.1|2.5-1.0.5.5.5.3|[ 4, 4, 5 ]|[ 5A2, 5A2, 5A1 ]|[ a^3, a^3, a^4 ]
2.5-1.0.5.5.5.4.1|2.5-1.0.5.5.5.4|[ 3, 5, 5 ]|[ 5A-2, 5A1, 5A1 ]|[ a^2, a^4, a^4 ]
2.6-2.0.3.6.6.1.1|2.6-2.0.3.6.6.1|[ 3, 5, 5 ]|[ 3A1, 6A1, 6A1 ]|[ a^4, a, a ]
2.6-2.0.3.6.6.2.1|2.6-2.0.3.6.6.2|[ 4, 6, 6 ]|[ 3A-1, 6A-1, 6A-1 ]|[ a^2, a^5, a^5 ]
2.6-1.0.2.2.3.3.1.1|2.6-1.0.2.2.3.3.1|[ 2, 2, 3, 3 ]|[ 2A, 2A, 3A, 3A ]|[ a, a, b^2, b ]
2.6-1.0.2.2.3.3.1.2|2.6-1.0.2.2.3.3.1|[ 2, 2, 3, 3 ]|[ 2A, 2A, 3A, 3A ]|[ a, ba, b, b ]
2.6-2.0.2.2.3.3.1.1|2.6-2.0.2.2.3.3.1|[ 2, 2, 3, 4 ]|[ 2A, 2A, 3A1, 3A-1 ]|[ a^3, a^3, a^4, a^2 ]
2.8-4.0.4.4.4.1.1|2.8-4.0.4.4.4.1|[ 3, 4, 5 ]|[ 4A, 4B, 4C ]|[ b, a, ba ]
2.8-1.0.2.8.8.1.1|2.8-1.0.2.8.8.1|[ 2, 7, 8 ]|[ 2A, 8A-1, 8A-3 ]|[ a^-4, a^-3, a^-1 ]
2.8-1.0.2.8.8.2.1|2.8-1.0.2.8.8.2|[ 2, 5, 6 ]|[ 2A, 8A3, 8A1 ]|[ a^-4, a, a^3 ]
2.8-3.0.2.2.2.4.1.1|2.8-3.0.2.2.2.4.1|[ 2, 3, 4, 5 ]|[ 2A, 2B, 2C, 4A ]|[ b^-2, a, b^-1a, b^-1 ]
2.10-2.0.2.5.10.1.1|2.10-2.0.2.5.10.1|[ 2, 3, 10 ]|[ 2A, 5A1, 10A1 ]|[ a^5, a^8, a^7 ]
2.10-2.0.2.5.10.2.1|2.10-2.0.2.5.10.2|[ 2, 4, 8 ]|[ 2A, 5A-1, 10A-3 ]|[ a^5, a^6, a^9 ]
2.10-2.0.2.5.10.3.1|2.10-2.0.2.5.10.3|[ 2, 5, 9 ]|[ 2A, 5A2, 10A3 ]|[ a^5, a^4, a ]
