total_label|passport_label|con|con_label|connected_genvec
2.10-2.0.2.5.10.4.1|2.10-2.0.2.5.10.4|[ 2, 6, 7 ]|[ 2A, 5A-2, 10A-1 ]|[ a^5, a^2, a^3 ]
2.12-1.0.3.4.4.1.1|2.12-1.0.3.4.4.1|[ 3, 4, 5 ]|[ 3A, 4A-1, 4A1 ]|[ b^2, a, ba^-1 ]
2.12-5.0.2.6.6.1.1|2.12-5.0.2.6.6.1|[ 2, 9, 12 ]|[ 2A, 6A-1, 6C1 ]|[ b^3, b^4a, b^5a ]
2.12-5.0.2.6.6.2.1|2.12-5.0.2.6.6.2|[ 2, 10, 11 ]|[ 2A, 6B-1, 6C-1 ]|[ b^3, b^2a, ba ]
2.12-5.0.2.6.6.3.1|2.12-5.0.2.6.6.3|[ 3, 8, 11 ]|[ 2B, 6A1, 6C-1 ]|[ a, b^5, ba ]
2.12-5.0.2.6.6.4.1|2.12-5.0.2.6.6.4|[ 3, 7, 12 ]|[ 2B, 6B1, 6C1 ]|[ a, b, b^5a ]
2.12-5.0.2.6.6.5.1|2.12-5.0.2.6.6.5|[ 4, 8, 9 ]|[ 2C, 6A1, 6A-1 ]|[ b^3a, b^5, b^4a ]
2.12-5.0.2.6.6.6.1|2.12-5.0.2.6.6.6|[ 4, 7, 10 ]|[ 2C, 6B1, 6B-1 ]|[ b^3a, b, b^2a ]
2.12-4.0.2.2.2.3.1.1|2.12-4.0.2.2.2.3.1|[ 2, 3, 4, 5 ]|[ 2A, 2C, 2B, 3A ]|[ b^3, a, b^5a, b^4 ]
2.16-8.0.2.4.8.1.1|2.16-8.0.2.4.8.1|[ 3, 5, 7 ]|[ 2B, 4B, 8A1 ]|[ a, b^3a, b^-3 ]
2.16-8.0.2.4.8.2.1|2.16-8.0.2.4.8.2|[ 3, 5, 6 ]|[ 2B, 4B, 8A-1 ]|[ a, b^-1a, b ]
2.24-3.0.3.3.4.1.1|2.24-3.0.3.3.4.1|[ 3, 4, 5 ]|[ 3A-1, 3A1, 4A ]|[ a, b^-2cba^2, cb ]
2.24-8.0.2.4.6.1.1|2.24-8.0.2.4.6.1|[ 4, 6, 9 ]|[ 2C, 4A, 6A ]|[ a, ca, c^5 ]
2.24-8.0.2.4.6.2.1|2.24-8.0.2.4.6.2|[ 4, 6, 8 ]|[ 2C, 4A, 6B1 ]|[ a, c^5a, c ]
2.48-29.0.2.3.8.1.1|2.48-29.0.2.3.8.1|[ 3, 4, 7 ]|[ 2B, 3A, 8A1 ]|[ a, cb^2, dcb^2a ]
2.48-29.0.2.3.8.2.1|2.48-29.0.2.3.8.2|[ 3, 4, 8 ]|[ 2B, 3A, 8A-1 ]|[ a, dcb^2, cb^2a ]
2.2-1.1.2.2.1.1|2.2-1.1.2.2.1|[ 2, 2 ]|[ 2A, 2A ]|[ a, Id(G), a, a ]

